device,family,N_requested,N_used,lambda2,C,alpha_hat,n_points
erdos_renyi_N10,erdos_renyi,10,10,0.4764877890546201,4.764877890546201,-0.01569446126668894,3
erdos_renyi_N12,erdos_renyi,12,11,0.5337934085252295,5.871727493777525,1.5775602622463558,3
erdos_renyi_N13,erdos_renyi,13,13,0.2868120070947922,3.728556092232299,0.3786956042949,3
erdos_renyi_N8,erdos_renyi,8,8,0.741801110252839,5.934408882022712,-0.08196920686419593,3
grid_N16,grid,16,16,0.21826404002942837,3.492224640470854,-1.122198907182052e-17,3
grid_N9,grid,9,9,0.42264973081037394,3.8038475772933653,0.11495985088815144,9
random_regular_4_N10,random_regular_4,10,10,0.44820034417674126,4.482003441767413,-0.04987465886053138,3
random_regular_4_N12,random_regular_4,12,12,0.5504287150662133,6.605144580794559,0.3786956042949,3
random_regular_4_N14,random_regular_4,14,14,0.3455330871582438,4.8374632202154135,0.3786956042949,3
random_regular_4_N8,random_regular_4,8,8,0.6464466094067263,5.17157287525381,0.021028966198301635,3
ring_N10,ring,10,10,0.19098300562505202,1.9098300562505202,0.1332708081057573,3
ring_N12,ring,12,12,0.1339745962155613,1.6076951545867355,-0.33908719397718945,3
ring_N14,ring,14,14,0.09903113209758083,1.3864358493661315,-1.122198907182052e-17,3
ring_N8,ring,8,8,0.2928932188134524,2.3431457505076194,-0.022156311831068136,3
small_world_N10,small_world,10,10,0.30817085371343833,3.081708537134383,2.0131693184535893,3
small_world_N12,small_world,12,12,0.2757555569303067,3.30906668316368,-1.122198907182052e-17,3
small_world_N14,small_world,14,14,0.2123900551188195,2.973460771663473,-1.122198907182052e-17,3
small_world_N8,small_world,8,8,0.5748579315330461,4.598863452264369,0.02831035348953181,3
