device,N,depth,success_prob
ring_N8,8,5,0.005533854166666667
ring_N8,8,10,0.013997395833333334
ring_N8,8,20,0.0078125
ring_N10,10,5,0.015950520833333332
ring_N10,10,10,0.0009765625
ring_N10,10,20,0.0009765625
ring_N12,12,5,0.0003255208333333333
ring_N12,12,10,0.0003255208333333333
ring_N12,12,20,0.0
ring_N14,14,5,0.0
ring_N14,14,10,0.0
ring_N14,14,20,0.0
grid_N9,9,5,0.0013020833333333333
grid_N9,9,10,0.0016276041666666667
grid_N9,9,20,0.00390625
grid_N9,9,5,0.0
grid_N9,9,10,0.0026041666666666665
grid_N9,9,20,0.0006510416666666666
grid_N9,9,5,0.0009765625
grid_N9,9,10,0.0009765625
grid_N9,9,20,0.0003255208333333333
grid_N16,16,5,0.0
grid_N16,16,10,0.0
grid_N16,16,20,0.0
random_regular_4_N8,8,5,0.001953125
random_regular_4_N8,8,10,0.0013020833333333333
random_regular_4_N8,8,20,0.004231770833333333
random_regular_4_N10,10,5,0.0003255208333333333
random_regular_4_N10,10,10,0.0016276041666666667
random_regular_4_N10,10,20,0.001953125
random_regular_4_N12,12,5,0.0009765625
random_regular_4_N12,12,10,0.0003255208333333333
random_regular_4_N12,12,20,0.0013020833333333333
random_regular_4_N14,14,5,0.0003255208333333333
random_regular_4_N14,14,10,0.0
random_regular_4_N14,14,20,0.0
small_world_N8,8,5,0.00390625
small_world_N8,8,10,0.004231770833333333
small_world_N8,8,20,0.0016276041666666667
small_world_N10,10,5,0.0013020833333333333
small_world_N10,10,10,0.0035807291666666665
small_world_N10,10,20,0.0009765625
small_world_N12,12,5,0.0
small_world_N12,12,10,0.0009765625
small_world_N12,12,20,0.0003255208333333333
small_world_N14,14,5,0.0
small_world_N14,14,10,0.0
small_world_N14,14,20,0.0
erdos_renyi_N8,8,5,0.0029296875
erdos_renyi_N8,8,10,0.005208333333333333
erdos_renyi_N8,8,20,0.005208333333333333
erdos_renyi_N10,10,5,0.0
erdos_renyi_N10,10,10,0.0
erdos_renyi_N10,10,20,0.0006510416666666666
erdos_renyi_N12,12,5,0.0
erdos_renyi_N12,12,10,0.0
erdos_renyi_N12,12,20,0.0006510416666666666
erdos_renyi_N13,13,5,0.0
erdos_renyi_N13,13,10,0.0
erdos_renyi_N13,13,20,0.0003255208333333333
